imdb_id,title
tt1375666,Inception
tt0468569,The Dark Knight
tt0816692,Interstellar
tt2015381,Guardians of the Galaxy
tt0137523,Fight Club
tt0133093,The Matrix
tt0371746,Iron Man
tt0120737,The Lord of the Rings: The Fellowship of the Ring
tt0110912,Pulp Fiction
tt0111161,The Shawshank Redemption
tt0167260,The Lord of the Rings: The Return of the King
tt0109830,Forrest Gump
tt0120338,Titanic
tt0167261,The Lord of the Rings: The Two Towers
tt0372784,Batman Begins
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
tt0241527,Harry Potter and the Philosopher's Stone
tt0458339,Captain America: The First Avenger
tt2395427,Avengers: Age of Ultron
tt0076759,Star Wars
tt0993846,The Wolf of Wall Street
tt2096673,Inside Out
tt0948470,The Amazing Spider-Man
tt1951264,The Hunger Games: Catching Fire
tt0266543,Finding Nemo
tt0088763,Back to the Future
tt1877832,X-Men: Days of Future Past
tt0198781,"Monsters, Inc."
tt0304141,Harry Potter and the Prisoner of Azkaban
tt0478970,Ant-Man
tt0068646,The Godfather
tt0080684,The Empire Strikes Back
tt0295297,Harry Potter and the Chamber of Secrets
tt0114369,Se7en
tt0330373,Harry Potter and the Goblet of Fire
tt0373889,Harry Potter and the Order of the Phoenix
tt0172495,Gladiator
tt0110357,The Lion King
tt0417741,Harry Potter and the Half-Blood Prince
tt0114709,Toy Story
tt0383574,Pirates of the Caribbean: Dead Man's Chest
tt0120815,Saving Private Ryan
tt0416449,300
tt0266697,Kill Bill: Vol. 1
tt1298650,Pirates of the Caribbean: On Stranger Tides
tt0480249,I Am Legend
tt0107290,Jurassic Park
tt1840309,Divergent
tt0086190,Return of the Jedi
tt0449088,Pirates of the Caribbean: At World's End
tt0078748,Alien
tt0434409,V for Vendetta
tt0102926,The Silence of the Lambs
tt0120915,Star Wars: Episode I - The Phantom Menace
tt0119654,Men in Black
tt2103281,Dawn of the Planet of the Apes
tt0382932,Ratatouille
tt0482571,The Prestige
tt0407887,The Departed
tt0936501,Taken
tt0108052,Schindler's List
tt0316654,Spider-Man 2
tt0110413,Leon: The Professional
tt0103064,Terminator 2: Judgment Day
tt1798709,Her
tt0088247,The Terminator
tt0121766,Star Wars: Episode III - Revenge of the Sith
tt0126029,Shrek
tt0209144,Memento
tt0120689,The Green Mile
tt1951266,The Hunger Games: Mockingjay - Part 2
tt0418279,Transformers
tt0458525,X-Men Origins: Wolverine
tt0121765,Star Wars: Episode II - Attack of the Clones
tt0378194,Kill Bill: Vol. 2
tt0095016,Die Hard
tt0317219,Cars
tt0245429,Spirited Away
tt0119116,The Fifth Element
tt0268380,Ice Age
tt0082971,Raiders of the Lost Ark
tt0096874,Back to the Future Part II
tt0264464,Catch Me If You Can
tt0081505,The Shining
tt0343818,"I, Robot"
tt0240772,Ocean's Eleven
tt0083658,Blade Runner
tt0105236,Reservoir Dogs
tt0367594,Charlie and the Chocolate Factory
tt0338013,Eternal Sunshine of the Spotless Mind
tt0099487,Edward Scissorhands
tt1099212,Twilight
tt0413300,Spider-Man 3
tt0118799,Life Is Beautiful
tt0258463,The Bourne Identity
tt0246578,Donnie Darko
tt1637688,In Time
tt0234215,The Matrix Reloaded
tt0103639,Aladdin
tt0169547,American Beauty
tt0066921,A Clockwork Orange
tt0071562,The Godfather: Part II
tt0112573,Braveheart
tt0211915,Amélie
tt0421715,The Curious Case of Benjamin Button
tt0083866,E.T. the Extra-Terrestrial
tt0114814,The Usual Suspects
tt0116629,Independence Day
tt0351283,Madagascar
tt0090605,Aliens
tt0831387,Godzilla
tt0167404,The Sixth Sense
tt0097576,Indiana Jones and the Last Crusade
tt0099685,GoodFellas
tt0458352,The Devil Wears Prada
tt1055369,Transformers: Revenge of the Fallen
tt0120912,Men in Black II
tt1735898,Snow White and the Huntsman
tt0242653,The Matrix Revolutions
tt0758758,Into the Wild
tt0457430,Pan's Labyrinth
tt0315327,Bruce Almighty
tt0120586,American History X
tt0268978,A Beautiful Mind
tt0800080,The Incredible Hulk
tt0477348,No Country for Old Men
tt0298148,Shrek 2
tt0062622,2001: A Space Odyssey
tt0448157,Hancock
tt0356910,Mr. & Mrs. Smith
tt1583421,G.I. Joe: Retaliation
tt0438097,Ice Age: The Meltdown
tt0086250,Scarface
tt0118715,The Big Lebowski
tt0073486,One Flew Over the Cuckoo's Nest
tt0099088,Back to the Future Part III
tt0208092,Snatch
tt0477347,Night at the Museum
tt1764651,The Expendables 2
tt0440963,The Bourne Ultimatum
tt1706620,Snowpiercer
tt1964418,Tomorrowland
tt0119217,Good Will Hunting
tt0372183,The Bourne Supremacy
tt1800241,American Hustle
tt0087469,Indiana Jones and the Temple of Doom
tt0332452,Troy
tt0120616,The Mummy
tt0097165,Dead Poets Society
tt0382625,The Da Vinci Code
tt0401792,Sin City
tt0117951,Trainspotting
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
tt0117060,Mission: Impossible
tt1291150,Teenage Mutant Ninja Turtles
tt1542344,127 Hours
tt0181689,Minority Report
tt0486576,Fantastic 4: Rise of the Silver Surfer
tt0075314,Taxi Driver
